full_text,capres
"@BosPurwa @prabowo Salah nya dimana? Logika sederhana gw pun klo suara banteng gak dipecah gimana Anies &amp  prabowo mau bisa ngalahin suara banteng? 2019 suara umat head to head lawan suara jkw + banteng, kita kalah. politik itu siasat,gmn siasatnya biar menang gak kalah lagi..itu aja fokusnya..",anies
"@andre_rosiade Bisa jadi 1 putaran,kunci nya menyakinkan kembali pemilih Prabowo yg lari ke anies.  Ada 3 org tetangga  pendukung Prabowo beralih ke anies Setelah debat panjang dgn saya,dan berusaha menyakin kan mereka dari sisi positif nya ttg prabowo,berubah mereka mendukung Prabowo.",anies
"Let us recap this! - Calon Presiden, Anies Baswedan berencana akan merubah fungsi BUMN yang menurutnya hanya berorientasi profit. - Menurutnya negara harusnya hanya mendulang keuntungan yang pertama dari Pajak, yang kedua dari ekstraksi dari alam. - Menurutnya BUMN harusnya…",anies
"@papa_loren untuk force majeur seperti ini, sepertinya lolos audit. CMIIW. makanya bener pak anies waktu itu. lockdown 2 minggu aja. pas masih awal-awal dulu. tapi ada pejabat ngeyelnya minta ampun. pakainya PSBB. kabarnya dia sekarang lagi mangkus di lionpura.",anies
Salah nya dimana? Logika sederhana gw pun klo suara banteng gak dipecah gimana Anies n prabowo mau bisa ngalahin suara banteng? 2019 suara umat lawan head to head lawan jkw n banteng  kalah.. gmn 2024 dgn 3 kandidat?,anies
@quintta1217 @Urrangawak Anies hebat jga,anies
Dungu kau semakin Parah. Gubernur DKI bukan pak Anies lagi. Yg perlu kau Bahas Itu kemiskinan Jateng karena Gubernurnya udah Hampir habis 2 Periode tapi Kemiskinan disana masih sangat tinggi,anies
Kekhawatiran mereka akan Anies jadi presiden akan BENAR2 nyata dan akan terjadi...insyallah,anies
@kumparan @aniesbaswedan Anies lebih percaya survei dari lembaga prancis,anies
Tentang lembaga survey...  Pak Anies mengkhawatirkan masa depan mereka,anies
"@SantorinisSun Diam seribu bahasa, sambil merenung kok di salip di tikungan sm Gibran😂😂 Piye tho anakku yo arep melu, neng kapusan karo anies😂🤣😅",anies
