Id,Sentiment,Pasangan Calon,Tweet,preprocessing,preprobaru
1,negative,Agus-Sylvi,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,akun kloning dukung agussilvy serang pasangan calon aniessandi opini argumen pmbenaran kecoh,akun kloning dukung agussilvy serang pasang calon aniessandi opini argumen pmbenaran kecoh
2,negative,Agus-Sylvi,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,agussilvy bicara kasihan ya lap air mata wkwk,agussilvy bicara kasihan ya lap air mata wkwk
3,negative,Agus-Sylvi,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,sih tidak menunggu hasil qc tetapi menunggu motif cuit susilo bambang yudhoyono kayak pasca agussilvy nyungsep,sih tunggu hasil qc tunggu motif cuit susilo bambang yudhoyono kayak pasca agussilvy nyungsep
4,negative,Agus-Sylvi,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,kasih oh kasih peluru milyar rukun warga agussilvy mempan memenangkan pilihan kepala daerah quickcount pilkadaserentak,kasih oh kasih peluru milyar rukun warga agussilvy mempan menang pilih kepala daerah quickcount pilkadaserentak
5,negative,Agus-Sylvi,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,maaf ya dukung agussilvy hayo dukung aniessandi putar ronavioleta netizentofa,maaf ya dukung agussilvy hayo dukung aniessandi putar ronavioleta netizentofa
6,negative,Agus-Sylvi,"aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub, anda lebay seperti yg anda dukung #agussilvy",aneh deh lebay sangkut paut kandidat calgub lebay sepe i yang dukung agussilvy,aneh deh lebay sangkut paut kandidat calgub lebay sepe i dukung agussilvy
7,negative,Agus-Sylvi,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,allah subhanahu wa taala ucap syukur susilo bambang yudhoyono presidensby agus harimurti yudhoyono terima kasih makna suara,allah subhanahu wa taala syukur susilo bambang yudhoyono presidensby agus hari i yudhoyono terima kasih makna suara
8,negative,Agus-Sylvi,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,terima kasih untuk dukung agus harimurti yudhoyono sylvi kalian beda kali,terima kasih dukung agus hari i yudhoyono sylvi beda kali
9,negative,Agus-Sylvi,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,terima kasih keistiqomahan rawan agus harimurti yudhoyono agusyudhoyono yang telah antar aniessandidki jaka agubernurbaru dengan signifikan,terima kasih keistiqomahan rawan agus hari i yudhoyono agusyudhoyono aniessandidki jaka agubernurbaru signifikan
10,negative,Agus-Sylvi,Mengenang pidato kekalahan #ahy,kenang pidato kalah agus harimurti yudhoyono,kenang pidato kalah agus hari i yudhoyono
11,negative,Agus-Sylvi,"dammnn,!! politik cantik #SBY ngorbanin #AHY",dammnn politik cantik susilo bambang yudhoyono mengorbankan agus harimurti yudhoyono,dammnn politik cantik susilo bambang yudhoyono korban agus hari i yudhoyono
12,negative,Agus-Sylvi,"Batal nyoblos, baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing	",batal mencoblos tau tidak no as suara agus harimurti yudhoyono kangen mosing,batal coblos tau no as suara agus hari i yudhoyono kangen mosing
13,negative,Agus-Sylvi,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,tertawa survei mu panggang api agus harimurti yudhoyono,te awa survei mu panggang api agus hari i yudhoyono
14,negative,Agus-Sylvi,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,kemarin agus harimurti yudhoyono april suara untuk pasangan calon daerah khusus ibukota,kemarin agus hari i yudhoyono april suara pasang calon daerah khusus ibu kota
15,negative,Agus-Sylvi,Karna yang belebihan itu tidak baik ya bah #AHY,karena belebihan ya bah agus harimurti yudhoyono,belebihan ya bah agus hari i yudhoyono
16,negative,Agus-Sylvi,"om AA kemana ? lepas #AHY kalah kok dia tutup mulut tidak koar"" mau bongkar SBY",om kakak mana lepas agus harimurti yudhoyono kalah tutup mulut koar bongkar susilo bambang yudhoyono,om kakak lepas agus hari i yudhoyono kalah tutup mulut koar bongkar susilo bambang yudhoyono
17,negative,Agus-Sylvi,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk,catut nama agus harimurti yudhoyono empok silvy langgar hukum tidak ya wkwkwkwkkwkk,catut nama agus hari i yudhoyono empok silvy langgar hukum ya wkwkwkwkkwkk
18,negative,Agus-Sylvi,ya pastilah #FPI kan ga suka ama Ahok jd pas #AHY udah kalah otomatis dukungannya lari ke mas #Anisa AniesSandi,ya front pembela islam tidak suka sama ahok jadi pas agus harimurti yudhoyono sudah kalah otomatis dukung lari mas anisa aniessandi,ya front bela islam suka ahok pas agus hari i yudhoyono kalah otomatis dukung lari mas anisa aniessandi
19,negative,Agus-Sylvi,dia lah Banteng.. dia lah Garuda!! ksatria seperti bpk @prabowo gentle spt #AHY @AgusYudhoyono ..jadi cinta sama #HajiDjarot,banteng garuda ksatria sepe i bapak prabowo gentle surat pemberitahuan tahunan agus harimurti yudhoyono agusyudhoyono cinta hajidjarot,banteng garuda ksatria sepe i prabowo gentle surat pemberitahuan tahun agus hari i yudhoyono agusyudhoyono cinta hajidjarot
20,negative,Agus-Sylvi,"Gara2 e-KTP dikorupsi, fotoku yg semula mirip #AHY, pelan tapi pasti skrang malah mirip - Stickmoticons”",gara e kartu tanda penduduk korupsi foto yang agus harimurti yudhoyono pelan sekarang stickmoticons,gara e kakak kamu tanda duduk korupsi foto agus hari i yudhoyono pelan stickmoticons
21,negative,Agus-Sylvi,"Double LOL. @aniesbaswedan nuduh @AgusYudhoyono miskin ide, sekarang dia copy #AHY. @SBYudhoyono http://m.republika.co.id",double wkwk aniesbaswedan menuduh agusyudhoyono miskin ide copy agus harimurti yudhoyono susilo bambang yudhoyono,double wkwk aniesbaswedan tuduh agusyudhoyono miskin ide copy agus hari i yudhoyono susilo bambang yudhoyono
22,negative,Agus-Sylvi,Kemana nih Antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang https://www.instagram.com/p/BRXaBMtBUeb/,mana nih antasari agus harimurti yudhoyono kalah pilihan gubernur daerah khusus ibukota melempem benar benar akting,nih antasari agus hari i yudhoyono kalah pilih gubernur daerah khusus ibu kota melempem akting
23,negative,Agus-Sylvi,Ingat! Tidak bisa modal OMONGAN saja. Tapi kerja nyata! #agusharimurtiyudhoyono #AHYâ€¦ https://www.instagram.com/p/BROjg0gBpYa/,modal omong kerja nyata agusharimu iyudhoyono agus harimurti yudhoyono,modal omong kerja nyata agusharimu iyudhoyono agus hari i yudhoyono
24,negative,Agus-Sylvi,"#ahy, pakdhe karwo, Pilgub Jatim, Pak Dhe Karwo Isyaratkan Agus Tidak Akan Maju di Pilgub Jatim",agus harimurti yudhoyono pakde karwo pilihan gubernur jawa timur deh karwo isyarat agus maju pilihan gubernur jawa timur,agus hari i yudhoyono pakde karwo pilih gubernur jawa timur deh karwo isyarat agus maju pilih gubernur jawa timur
25,negative,Agus-Sylvi,"Paslon salah langkah seperti dilakukan Sandi ini, bukan tidak mungkin jadi bumerang gagal dapat suara #AHY. @ZaraZettiraZZ @monethamrin",pasangan calon salah langkah sepe i sandi bumerang gagal suara agus harimurti yudhoyono zarazettirazz monethamrin,pasang calon salah langkah sepe i sandi bumerang gagal suara agus hari i yudhoyono zarazettirazz monethamrin
26,negative,Agus-Sylvi,"Jangan2, relawan inilah yang gembosi #AHY lalu.",rawan gembos agus harimurti yudhoyono,rawan gembos agus hari i yudhoyono
27,negative,Agus-Sylvi,"Di manakah #AHY... Sang Ksatria, Samurai, Prajurit, Pembangun semangat & harapan, Pahlawan yg dinanti-nantikan rakyat itu...",mana agus harimurti yudhoyono sang ksatria samurai prajurit bangun semangat harap pahlawan yang nanti nanti rakyat,agus hari i yudhoyono sang ksatria samurai prajurit bangun semangat harap pahlawan rakyat
28,negative,Agus-Sylvi,"Kini, ketika #AHY berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. Kemana lagi rakyat mencari ketulusan?",agus harimurti yudhoyono arena tabir gelap tiada harap sergap rakyat mana rakyat cari tulus,agus hari i yudhoyono arena tabir gelap tiada harap sergap rakyat rakyat cari tulus
