preprocessing,capres,label
bospurwa prabowo salah nya mana logika sederhana gue suara banteng pecah anies amp prabowo kalah suara banteng suara umat head to head lawan suara jokowi banteng kalah politik siasatgmn siasat biar menang kalah lagiitu fokus,anies,negative
andrerosiade putarankunci nya menyakinkan pilih prabowo lari anies orang tetangga dukung prabowo alih anies debat sayadan usaha menyakin sisi positif nya prabowoberubah dukung prabowo,anies,negative
let us recap this calon presiden anies baswedan rencana ubah fungsi badan usaha milik negara turut orientasi profit turut negara dulang untung pe pajak ekstraksi alam turut badan usaha milik negara,anies,positive
papaloren force majeur sepe i sepe inya lolos audit cmiiw anies lockdown minggu aja pas awalawal jabat ngeyelnya ampun pakai psbb kabar mangkus lionpura,anies,negative
salah nya mana logika sederhana gue suara banteng pecah anies prabowo kalah suara banteng suara umat lawan head to head lawan jokowi banteng kalah kandidat,anies,negative
quintta urrangawak anies hebat,anies,negative
dungu parah gubernur daerah khusus ibukota anies bahas miskin jawa gubernur habis periode miskin,anies,negative
khawatir anies presiden nyata terjadiinsyallah,anies,negative
kumpar aniesbaswedan anies percaya survei lembaga prancis,anies,negative
lembaga survey anies khawatir,anies,negative
santorinissun diam ribu bahasa renung salip tikung gibran though anak iya melu neng kapusan anies,anies,negative
pembantaicebong ahmedasarlan dukung anies sepe inya anis presiden ex warga negara indonesia pro isis izin pulang,anies,positive
ganjar anies bentuk komitmen tenang,anies,negative
siregarelang buruk tentu mayoritasklo tentu mayoritas bera i anies pilih gubernur daerah khusus ibukota pilih sehehhh siregarelang,anies,positive
djatmika hasyimmah ya saham lurah dominan coba liat partai adil sejahtera anies dicalonpresidenkan nasional demokrat tugas ai totok kayak ganjar tunduk megawati anies pinang nasdem relasi tara nasdem ganjar mega,anies,negative
andisinulingga doski dukung anies,anies,negative
ruhutsitompul kurus kali paman sediiih kali kau sepiii kali bah kawan kabur belah bahan hujat anies,anies,negative
chynthiak adiannapitupul survei baru putus mk contoh nya indikatoramp poltrakingprabowogib unggul telak terhdp ganjar anies putarankrn putus mk efek nya masyrkt pengaruh jokowi akar rumput kuatmaybe pengaruh dana desasudah ekonomi desa,anies,negative
pdemokrat anies gabubgnya,anies,positive
